AOID,Label
A1.1NP.181,181-kancelář
A1.1NP.181A,181A-chodba
A1.1NP.182,182-kancelář
A1.1NP.183,183-chodba
A1.1NP.184,184-sklad
A1.1NP.185,185-chodba
A1.1NP.186,186-výrobní prostory
A1.1NP.187,187-schody
A1.1NP.188,188-schody
A1.1NP.189,189-výrobní prostory
A1.1NP.190,190-výrobní prostory
A1.1NP.191,191-výrobní prostory
A1.1NP.192,192-výrobní prostory
A1.1NP.193,193-výrobní prostory
A1.1NP.1A1,1A1-sklad
A1.1NP.1A1A,1A1A-sklad
A1.1NP.1A2,1A2-sklad
A1.1NP.1A3,1A3-sklad
A1.1NP.1A4,1A4-sklad
A1.1NP.1A4A,1A4A-sklad
A1.1NP.1A4B,1A4B-sklad
A1.1NP.1A5,1A5-chodba
A1.1NP.1A5A,1A5A-sklad
A1.1NP.1A6,1A6-chodba
A1.1NP.1A7,1A7-výrobní prostory
A1.1NP.1A8,1A8-sklad
A1.1NP.1A9,1A9-chodba
A1.1NP.1B1,1B1-sklad
A1.1NP.1B2,1B2-sklad
A1.1NP.1B3,1B3-šatna
A1.1NP.1B4,1B4-sociální zázemí
A1.1NP.1B5,1B5-sociální zázemí
A1.1NP.1B6,1B6-šatna
A1.1NP.1B6A,1B6A-šatna
A1.1NP.1B6B,1B6B-šatna
A1.1NP.1B6C,1B6C-šatna
A1.1NP.1B7,1B7-sociální zázemí
A1.1NP.1C1,1C1-sklad
A1.1NP.1C10,1C10-sklad
A1.1NP.1C13,1C13-sklad
A1.1NP.1C14,1C14-sklad
A1.1NP.1C15,1C15-sklad
A1.1NP.1C16,1C16-sklad
A1.1NP.1C2,1C2-sklad
A1.1NP.1C3,1C3-sklad
A1.1NP.1C4,1C4-kancelář
A1.1NP.1C4A,1C4A-chodba
A1.1NP.1C4B,1C4B-chodba
A1.1NP.1C5,1C5-kancelář
A1.1NP.1C6,1C6-kancelář
A1.1NP.1C7,1C7-kancelář
A1.1NP.1C8,1C8-kancelář
A1.1NP.1C9,1C9-chodba
A1.1NP.1D1,1D1-chodba
A1.1NP.1D10,1D10-sklad
A1.1NP.1D2,1D2-chodba
A1.1NP.1D3,1D3-chodba
A1.1NP.1D4,1D4-sklad
A1.1NP.1D5,1D5-kancelář
A1.1NP.1D5A,1D5A-kancelář
A1.1NP.1D6,1D6-výrobní prostory
A1.1NP.1D7,1D7-sklad
A1.1NP.1D8,1D8-sklad
A1.1NP.1D9,1D9-kancelář
A1.1NP.1E1,1E1-výrobní prostory
A1.1PP.001,001-chodba
A1.1PP.002,002-schody
A1.1PP.003,003-kancelář
A1.1PP.003A,003A-kancelář
A1.1PP.004,004-kancelář
A1.1PP.005,005-kancelář
A1.1PP.005A,005A-sklad
A1.1PP.005B,005B-sklad
A1.1PP.005C,005C-WC
A1.1PP.005D,005D-WC
A1.1PP.006,006-sklad
A1.1PP.007,007-kancelář
A1.1PP.007A,007A-kancelář
A1.1PP.007B,007B-sklad
A1.1PP.007C,007C-sociální zázemí
A1.1PP.008,008-kancelář
A1.1PP.008A,008A-chodba
A1.1PP.009,009-kancelář
A1.1PP.009A,009A-chodba
A1.1PP.010,010-kancelář
A1.1PP.011,011-chodba
A1.1PP.012,012-kancelář
A1.1PP.013,013-chodba
A1.1PP.014,014-WC
A1.1PP.015,015-kancelář
A1.1PP.016,016-chodba
A1.1PP.017,017-chodba
A1.1PP.018,018-výrobní prostory
A1.1PP.019,019-výrobní prostory
A1.1PP.020,020-WC
A1.1PP.021,021-sklad
A1.1PP.022,022-schody
A1.1PP.023,023-chodba
A1.1PP.024,024-výrobní prostory
A1.1PP.025,025-výrobní prostory
A1.1PP.051,051-chodba
A1.1PP.052,052-šatna
A1.1PP.053,053-WC
A1.1PP.054,054-šatna
A1.1PP.055,055-WC
A1.1PP.056,056-kancelář
A1.1PP.056A,056A-kancelář
A1.1PP.056B,056B-kancelář
A1.1PP.057,057-sklad
A1.1PP.058,058-sklad
A1.1PP.059,059-sklad
A1.1PP.060,060-chodba
A1.1PP.061,061-sklad
A1.1PP.062,062-sklad
A1.1PP.063,063-sklad
A1.1PP.064,064-výrobní prostory
A1.1PP.065,065-sklad
A1.1PP.066,066-výrobní prostory
A1.1PP.067,067-sociální zázemí
A1.1PP.068,068-výrobní prostory
A1.1PP.069,069-sklad
A1.1PP.070,070-kuchyň
A1.1PP.071,071-schody
A1.1PP.072,072-schody
A1.1PP.073,073-kuchyň
A1.1PP.074,074-kuchyň
A1.1PP.075,075-chodba
A1.1PP.076,076-jídelna
A1.1PP.077,077-WC
A1.1PP.078,078-WC
A1.1PP.079,079-WC
A1.1PP.080,080-chodba
A1.1PP.082,082-sociální zázemí
A1.1PP.083,083-sklad
A1.1PP.084,084-sociální zázemí
A1.1PP.084A,084A-sociální zázemí
A1.1PP.084B,084B-kuchyň
A1.1PP.085,085-chodba
A1.1PP.086,086-výrobní prostory
A1.1PP.087,087-výrobní prostory
A1.1PP.088,088-WC
A1.1PP.089,089-schody
A1.1PP.090,090-sklad
A1.1PP.091,091-výrobní prostory
A1.2MP.600,600-chodba
A1.2MP.601,601-kancelář
A1.2MP.605,605-WC
A1.2MP.607,607-WC
A1.2MP.609,609-výrobní prostory
A1.2MP.610,610-kancelář
A1.2MP.611,611-kancelář
A1.2MP.612,612-kancelář
A1.2MP.613,613-kancelář
A1.2MP.614,614-kancelář
A1.2MP.616,616-kancelář
A1.2MP.617,617-kancelář
A1.2MP.618,618-kancelář
A1.2MP.619,619-kancelář
A1.2MP.620,620-kancelář
A1.2MP.621,621-kancelář
A1.2MP.622,622-kancelář
A1.2MP.623,623-kancelář
A1.2MP.624,624-kancelář
A1.2MP.625,625-kancelář
A1.2MP.626,626-kancelář
A1.2MP.627,627-kancelář
A1.2MP.628,628-sklad
A1.2MP.630,630-kancelář
A1.2MP.631,631-kancelář
A1.2NP.200,200-chodba
A1.2NP.201,201-schody
A1.2NP.202,202-kancelář
A1.2NP.203,203-kancelář
A1.2NP.204,204-kancelář
A1.2NP.205,205-kancelář
A1.2NP.206,206-kancelář
A1.2NP.207,207-kancelář
A1.2NP.208,208-kancelář
A1.2NP.209,209-sklad
A1.2NP.210,210-kancelář
A1.2NP.211,211-kancelář
A1.2NP.212,212-kancelář
A1.2NP.213,213-kancelář
A1.2NP.214,214-kancelář
A1.2NP.215,215-kancelář
A1.2NP.216,216-schody
A1.2NP.217,217-chodba
A1.2NP.218,218-kancelář
A1.2NP.219,219-kancelář
A1.2NP.220,220-kancelář
A1.2NP.221,221-WC
A1.2NP.222,222-WC
A1.2NP.223,223-WC
A1.2NP.224,224-WC
A1.2NP.225,225-schody
A1.2NP.226,226-WC
A1.2NP.227,227-WC
A1.2NP.228,228-sociální zázemí
A1.2NP.229,229-WC
A1.2NP.230,230-kancelář
A1.2NP.231,231-kancelář
A1.2NP.232,232-chodba
A1.2NP.233,233-schody
A1.2NP.234,234-chodba
A1.2NP.235,235-kancelář
A1.2NP.236,236-WC
A1.2NP.238,238-sociální zázemí
A1.2NP.239,239-kancelář
A1.2NP.240,240-kancelář
A1.2NP.241,241-kancelář
A1.2NP.242,242-chodba
A1.2NP.243,243-sklad
A1.2NP.244,244-garáž
A1.2NP.245,245-dílna
A1.2NP.246A,246A-chodba
A1.2NP.246B,246B-chodba
A1.2NP.246C,246C-kancelář
A1.2NP.246D,246D-sociální zázemí
A1.2NP.246E,246E-kancelář
A1.2NP.246F,246F-kancelář
A1.2NP.247,247-chodba
A1.2NP.247A,247A-schody
A1.2NP.248,248-ateliér
A1.2NP.250,250-kancelář
A1.2NP.251,251-kancelář
A1.2NP.252,252-kancelář
A1.2NP.253,253-kancelář
A1.2NP.254,254-kancelář
A1.2NP.255,255-kancelář
A1.2NP.256,256-sklad
A1.2NP.257,257-výrobní prostory
A1.2NP.258,258-kancelář
A1.2NP.259,259-WC
A1.2NP.260,260-kancelář
A1.2NP.261,261-kancelář
A1.2NP.262,262-WC
A1.2NP.263,263-kancelář
A1.2NP.264,264-kancelář
A1.2NP.265,265-WC
A1.2NP.266,266-kancelář
A1.2NP.267,267-chodba
A1.2NP.268,268-kancelář
A1.2NP.269,269-WC
A1.2NP.270,270-kancelář
A1.2NP.271,271-kancelář
A1.2NP.272,272-WC
A1.2NP.273,273-kancelář
A1.2NP.274,274-kancelář
A1.2NP.275,275-WC
A1.2NP.276,276-kancelář
A1.2NP.278,278-WC
A1.2NP.279,279-WC
A1.2NP.280,280-schody
A1.2NP.281,281-chodba
A1.2NP.282,282-kancelář
A1.2NP.283,283-kancelář
A1.2NP.286,286-kancelář
A1.2NP.287,287-schody
A1.2NP.288,288-chodba
A1.2NP.289,289-chodba
A1.2NP.290,290-kancelář
A1.2NP.291,291-kancelář
A1.2NP.292,292-kancelář
A1.2NP.293,293-kancelář
A1.2NP.293A,293A-ZRUŠENO
A1.2NP.294,294-WC
A1.2NP.295,295-WC
A1.2NP.296,296-WC
A1.2NP.297,297-dílna
A1.2NP.297A,297A-sklad
A1.2NP.297B,297B-kancelář
A1.2NP.297C,297C-schody
A1.2NP.297D,297D-sklad
A1.2NP.298,298-ateliér
A1.3MP.701,701-chodba
A1.3MP.702,702-kancelář
A1.3MP.703,703-kancelář
A1.3MP.704,704-kancelář
A1.3MP.705,705-kancelář
A1.3MP.706,706-sociální zázemí
A1.3MP.706A,706A-WC
A1.3MP.707,707-výrobní prostory
A1.3MP.708,708-kancelář
A1.3MP.709,709-kancelář
A1.3MP.710,710-kancelář
A1.3MP.711,711-kancelář
A1.3NP.301,301-kancelář
A1.3NP.302,302-kancelář
A1.3NP.305,305-kancelář
A1.3NP.309,309-kancelář
A1.3NP.311,311-kancelář
A1.3NP.312,312-sklad
A1.3NP.313,313-kancelář
A1.3NP.314,314-kancelář
A1.3NP.315,315-kancelář
A1.3NP.316,316-kancelář
A1.3NP.317,317-kancelář
A1.3NP.318,318-kancelář
A1.3NP.319,319-chodba
A1.3NP.319A,319A-kancelář
A1.3NP.320,320-kancelář
A1.3NP.322,322-kancelář
A1.3NP.323,323-kancelář
A1.3NP.324,324-WC
A1.3NP.325,325-WC
A1.3NP.326,326-chodba
A1.3NP.327,327-WC
A1.3NP.328,328-WC
A1.3NP.329,329-sociální zázemí
A1.3NP.331,331-kancelář
A1.3NP.332,332-kancelář
A1.3NP.334,334-kancelář
A1.3NP.335,335-chodba
A1.3NP.336,336-kancelář
A1.3NP.337,337-sociální zázemí
A1.3NP.338,338-kancelář
A1.3NP.339,339-kancelář
A1.3NP.340,340-kancelář
A1.3NP.341,341-kancelář
A1.3NP.342,342-kancelář
A1.3NP.343,343-chodba
A1.3NP.345,345-kancelář
A1.3NP.346,346-kancelář
A1.3NP.347,347-chodba
A1.3NP.350,350-chodba
A1.3NP.351,351-kancelář
A1.3NP.352,352-kancelář
A1.3NP.354,354-kancelář
A1.3NP.355,355-kancelář
A1.3NP.356,356-kancelář
A1.3NP.357,357-sklad
A1.3NP.358,358-výrobní prostory
A1.3NP.359,359-sociální zázemí
A1.3NP.360,360-kancelář
A1.3NP.361,361-kancelář
A1.3NP.363,363-kancelář
A1.3NP.364,364-kancelář
A1.3NP.365,365-kancelář
A1.3NP.366,366-kancelář
A1.3NP.368,368-kancelář
A1.3NP.369,369-kancelář
A1.3NP.370,370-kancelář
A1.3NP.372,372-sociální zázemí
A1.3NP.373,373-WC
A1.3NP.375,375-chodba
A1.3NP.376,376-chodba
A1.3NP.377,377-WC
A1.3NP.378,378-WC
A1.3NP.379,379-WC
A1.3NP.380,380-kancelář
A1.3NP.381,381-kancelář
A1.3NP.382,382-kancelář
A1.3NP.383,383-chodba
A1.3NP.384,384-kancelář
A1.3NP.385,385-kancelář
A1.3NP.386,386-kancelář
A1.3NP.387,387-kancelář
A1.3NP.388,388-kancelář
A1.3NP.388A,388A-sociální zázemí
A1.3NP.388B,388B-sociální zázemí
A1.3NP.389,389-kancelář
A1.3NP.390,390-kancelář
A1.3NP.390A,390A-schody
A1.3NP.390B,390B-chodba
A1.3NP.391,391-schody
A1.3NP.392,392-chodba
A1.3NP.393,393-chodba
A1.3NP.393A,393A-kancelář
A1.3NP.393B,393B-kancelář
A1.3NP.394,394-chodba
A1.3NP.394A,394A-kancelář
A1.3NP.394B,394B-kancelář
A1.3NP.395,395-kancelář
A1.3NP.395A,395A-chodba
A1.3NP.395B,395B-kancelář
A1.3NP.395C,395C-kancelář
A1.4MP.800,800-chodba
A1.4MP.801,801-sklad
A1.4MP.802,802-sklad
A1.4MP.803,803-sklad
A1.4MP.804,804-sklad
A1.4MP.805,805-sklad
A1.4MP.806,806-sklad
A1.4MP.807,807-sklad
A1.4MP.808,808-sklad
A1.4MP.809,809-sklad
A1.4MP.810,810-sklad
A1.4MP.811,811-sklad
A1.4MP.812,812-sklad
A1.4MP.813,813-sklad
A1.4MP.814,814-sklad
A1.4MP.815,815-výrobní prostory
A1.4MP.816,816-sklad
A1.4MP.817,817-sklad
A1.4MP.818,818-sklad
A1.4MP.819,819-sklad
A1.4MP.820,820-sklad
A1.4MP.821,821-sklad
A1.4MP.822,822-sklad
A1.4MP.823,823-sklad
A1.4MP.824,824-sklad
A1.4MP.825,825-sklad
A1.4MP.826,826-sklad
A1.4NP.401,401-schody
A1.4NP.402,402-chodba
A1.4NP.403,403-kancelář
A1.4NP.404,404-kancelář
A1.4NP.405,405-schody
A1.4NP.406,406-kancelář
A1.4NP.407,407-kancelář
A1.4NP.408,408-chodba
A1.4NP.409,409-WC
A1.4NP.410,410-WC
A1.4NP.412,412-chodba
A1.4NP.412A,412A-chodba
A1.4NP.413,413-kancelář
A1.4NP.414,414-kancelář
A1.4NP.415,415-kancelář
A1.4NP.416,416-kancelář
A1.4NP.417,417-kancelář
A1.4NP.419,419-kancelář
A1.4NP.420,420-kancelář
A1.4NP.421,421-kancelář
A1.4NP.422,422-WC
A1.4NP.423,423-chodba
A1.4NP.424,424-sklad
A1.4NP.450,450-schody
A1.4NP.452,452-kancelář
A1.4NP.452A,452A-kancelář
A1.4NP.453,453-kancelář
A1.4NP.454,454-kancelář
A1.4NP.455,455-kancelář
A1.4NP.455A,455A-WC
A10.1NP.101,101-sklad
A10.1NP.102,102-kancelář
A10.1NP.103,103-WC
A10.1NP.104,104-WC
A10.1NP.105,105-WC
A10.1NP.106,106-sklad
A10.1NP.107,107-kancelář
A10.1NP.108,108-WC
A10.1NP.109,109-WC
A10.1NP.110,110-WC
A10.1NP.111,111-sklad
A10.1NP.112,112-kancelář
A10.1NP.113,113-WC
A10.1NP.114,114-WC
A10.1NP.115,115-WC
A10.1NP.116,116-sklad
A10.1NP.117,117-kancelář
A10.1NP.118,118-WC
A10.1NP.119,119-WC
A10.1NP.120,120-WC
A10.1NP.121,121-výrobní prostory
A10.1NP.122,122-úklid
A10.2NP.201,201-sklad
A10.2NP.202,202-dílna
A10.2NP.203,203-sociální zázemí
A10.2NP.204,204-WC
A10.2NP.205,205-WC
A10.2NP.206,206-WC
A10.2NP.207,207-WC
A10.2NP.208,208-dílna
A10.2NP.209,209-dílna
A10.2NP.210,210-kancelář
A10.2NP.211,211-sklad
A10.2NP.212,212-dílna
A10.2NP.213,213-sociální zázemí
A10.2NP.214,214-WC
A10.2NP.215,215-WC
A10.2NP.216,216-WC
A10.2NP.217,217-WC
A10.2NP.218,218-dílna
A10.2NP.219,219-dílna
A10.2NP.220,220-kancelář
A10.2NP.221,221-úklid
A4.1NP.101,101-výrobní prostory
A4.1NP.102,102-výrobní prostory
A4.1NP.103,103-výrobní prostory
A4.1NP.104,104-výrobní prostory
A4.1NP.105,105-výrobní prostory
A4.1NP.106,106-výrobní prostory
A4.1NP.107,107-výrobní prostory
A4.1NP.108,108-výrobní prostory
A4.1NP.109,109-výrobní prostory
A4.1NP.110,110-výrobní prostory
A4.1NP.111,111-výrobní prostory
A4.1NP.111A,111A-výrobní prostory
A4.1NP.111B,111B-výrobní prostory
A4.1NP.112,112-kancelář
A4.1NP.113,113-kancelář
A4.1NP.113A,113A-sociální zázemí
A4.1NP.114,114-chodba
A4.1NP.115,115-chodba
A4.1NP.116,116-sociální zázemí
A4.1NP.116A,116A-WC
A4.1NP.118,118-WC
A4.1NP.119,119-schody
A4.1NP.120,120-sociální zázemí
A4.1NP.121,121-kancelář
A4.1NP.122,122-kancelář
A4.1PP.001,001-výrobní prostory
A4.1PP.002,002-výrobní prostory
A4.1PP.003,003-výrobní prostory
A4.1PP.003A,003A-výrobní prostory
A4.1PP.004,004-chodba
A4.1PP.005,005-výrobní prostory
A4.1PP.006,006-chodba
A4.1PP.007,007-výrobní prostory
A4.1PP.008,008-sklad
A4.1PP.009,009-výrobní prostory
A4.1PP.010,010-výrobní prostory
A4.1PP.011,011-výrobní prostory
A4.1PP.012,012-výrobní prostory
A4.1PP.013,013-sklad
A4.2NP.201,201-kancelář
A4.2NP.203,203-kancelář
A4.2NP.204,204-WC
A4.2NP.205,205-WC
A4.2NP.206,206-WC
A4.2NP.207,207-schody
A4.2NP.208,208-kancelář
A4.2NP.210,210-výrobní prostory
A5.1NP.101,101-chodba
A5.1NP.103,103-kancelář
A5.1NP.104,104-sklad
A5.1NP.105,105-WC
A5.1NP.106,106-WC
A5.1NP.107,107-sociální zázemí
A5.1NP.108,108-kancelář
A5.1NP.109,109-kancelář
A5.1NP.110,110-sklad
A5.1NP.111,111-dílna
A5.1NP.111A,111A-sklad
A5.1NP.115,115-chodba
A5.1NP.116,116-WC
A5.1NP.117,117-WC
A5.1NP.118,118-WC
A5.1NP.119,119-dílna
A5.1NP.120,120-výrobní prostory
A5.1NP.121,121-dílna
A5.1NP.124,124-dílna
A5.1NP.126,126-schody
A5.1NP.127,127-výrobní prostory
A5.2NP.201,201-chodba
A5.2NP.202,202-kancelář
A5.2NP.203,203-kancelář
A5.2NP.204,204-kancelář
A5.2NP.205,205-sklad
A5.2NP.206,206-sociální zázemí
A5.2NP.207,207-WC
A5.2NP.208,208-sociální zázemí
A5.2NP.209,209-kancelář
A5.2NP.210,210-kancelář
A5.2NP.211,211-sociální zázemí
A5.2NP.212,212-chodba
A5.2NP.213,213-sklad
A5.2NP.214,214-sklad
A5.2NP.215,215-sklad
A5.2NP.216,216-sklad
A5.2NP.217,217-dílna
A5.2NP.218,218-sklad
A5.2NP.219,219-výrobní prostory
A6.1NP.101,101-kancelář
A6.1NP.102,102-chodba
A6.1NP.103,103-kancelář
A6.1NP.104,104-kancelář
A6.1NP.105,105-kuchyň
A6.1NP.106,106-kancelář
A6.1NP.107,107-úklid
A6.1NP.108,108-WC
A6.1NP.109,109-WC
A6.1NP.110,110-sklad
A6.1NP.111,111-kancelář
A6.1NP.114,114-chodba
A6.1NP.115,115-chodba
A6.1NP.116,116-chodba
A6.1NP.116A,116A-kancelář
A6.1NP.116B,116B-kancelář
A6.1NP.117,117-kancelář
A6.1NP.118,118-WC
A6.1NP.119,119-WC
A6.1NP.120,120-kancelář
A7.1NP.101,101-kancelář
A7.1NP.102,102-WC
A7.1NP.103,103-WC
A7.1NP.104,104-úklid
A7.1NP.105,105-schody
A7.1NP.106,106-kancelář
A7.1NP.107,107-kancelář
A7.1NP.108,108-kancelář
A7.1NP.109,109-kancelář
A7.2NP.201,201-sklad
A7.2NP.202,202-schody
A7.2NP.203,203-kancelář
AA.1NP.101,101-kancelář
AA.1NP.102,102-WC
AA.1NP.103,103-WC
AC.1NP.001,001-kancelář
AC.1NP.002,002-kancelář
AC.1NP.003,003-chodba
AC.1NP.004,004-sociální zázemí
AC.1NP.005,005-chodba
AC.1NP.006,006-WC
AC.1NP.007,007-WC
AC.1NP.008,008-dílna
AC.1NP.009,009-dílna
AC.1NP.010,010-sklad
AC.1NP.011,011-úklid
AC.1NP.012,012-sociální zázemí
AC.1NP.013,013-dílna
AC.1NP.014,014-sklad
AC.1NP.015,015-sklad
AC.1NP.017,017-sklad
AE.1NP.101,101-dílna
AE.1NP.102,102-sklad
AE.1NP.103,103-výrobní prostory
AE.1NP.104,104-sklad
B2.1NP.C_101,C 101-chodba
B2.1NP.C_102,C 102-kancelář
B2.1NP.C_103,C 103-kancelář
B2.1NP.C_104,C 104-kancelář
B2.1NP.C_105,C 105-WC
B2.1NP.C_106,C 106-WC
B2.1NP.C_107,C 107-kancelář
B2.1NP.C_108,C 108-kancelář
B2.1NP.C_109,C 109-chodba
B2.1NP.C_110,C 110-kancelář
B2.1NP.C_111,C 111-výrobní prostory
B2.1NP.C_112,C 112-chodba
B2.1NP.C_113,C 113-chodba
B2.1NP.C_114A,C 114A-kancelář
B2.1NP.C_114B,C 114B-kancelář
B2.1NP.C_114C,C 114C-kancelář
B2.1NP.C_114D,C 114D-chodba
B2.1NP.C_114E,C 114E-chodba
B2.1NP.C_115,C 115-kancelář
B2.1NP.C_116,C 116-kancelář
B2.1NP.C_117,C 117-kuchyň
B2.1NP.C_118,C 118-schody
B2.1NP.C_119,C 119-WC
B2.1NP.C_120,C 120-úklidová místnost
B2.1NP.C_121,C 121-WC
B2.1PP.C_0101,C 0101-kancelář
B2.1PP.C_0102,C 0102-kancelář
B2.1PP.C_0103,C 0103-kancelář
B2.1PP.C_0104,C 0104-kancelář
B2.1PP.C_0105,C 0105-kancelář
B2.1PP.C_0106,C 0106-kancelář
B2.1PP.C_0107,C 0107-kancelář
B2.1PP.C_0108,C 0108-výrobní prostory
B2.1PP.C_0108A,C 0108A-výrobní prostory
B2.1PP.C_0109,C 0109-kancelář
B2.1PP.C_0110,C 0110-kancelář
B2.1PP.C_0110A,C 0110A-kancelář
B2.1PP.C_0110B,C 0110B-kancelář
B3.1NP.101A,101A-schody
B3.1NP.101B,101B-schody
B3.1NP.101C,101C-schody
B3.1NP.101D,101D-schody
B3.1NP.101E,101E-výrobní prostory
B3.1NP.101F,101F-výrobní prostory
B3.1NP.101G,101G-výrobní prostory
B3.1NP.102,102-WC
B3.1NP.103,103-WC
B3.1NP.104A,104A-chodba
B3.1NP.104B,104B-chodba
B3.1NP.104C,104C-chodba
B3.1NP.105,105-dílna
B3.1NP.106,106-dílna
B3.1NP.107,107-dílna
B3.1NP.108,108-dílna
B3.1NP.109,109-dílna
B3.1NP.110,110-dílna
B3.1NP.111,111-dílna
B3.1NP.112,112-dílna
B3.1NP.113,113-dílna
B3.1NP.114,114-dílna
B3.1NP.115,115-dílna
B3.1NP.116,116-dílna
B3.1NP.117,117-dílna
B3.1NP.118,118-dílna
B3.1NP.119,119-chodba
B3.1NP.120,120-sociální zázemí
B3.1NP.121,121-kancelář
B3.1NP.122,122-kancelář
B3.1NP.123,123-výrobní prostory
B3.1NP.124,124-schody
B3.1NP.125,125-výrobní prostory
B3.1NP.126,126-výrobní prostory
B3.1NP.127,127-výrobní prostory
B3.1NP.128,128-výrobní prostory
B3.1NP.129,129-výrobní prostory
B3.1NP.130,130-výrobní prostory
B3.1NP.131,131-výrobní prostory
B3.1NP.132,132-WC
B3.1NP.133,133-výrobní prostory
B3.1NP.134,134-sociální zázemí
B3.1NP.135,135-šatna
B3.1NP.136,136,137-sklad
B3.1NP.138,138-kancelář
B3.1NP.139,139-kancelář
B3.1NP.140,140-chodba
B3.1NP.141,141-sociální zázemí
B3.1NP.142,142-chodba
B3.1NP.143,143-WC
B3.1NP.144,144-sklad
B3.1NP.154,154-kancelář
B3.1NP.155,155-kancelář
B3.1NP.156,156-kancelář
B3.1NP.157,157-kancelář
B3.1NP.158,158-kancelář
B3.1NP.159,159-kancelář
B3.1NP.160,160-WC
B3.1NP.161,161-chodba
B3.1NP.162,162-WC
B3.1NP.163,163-sklad
B3.1NP.164,164-sklad
B3.1NP.165,165-sklad
B3.1NP.166,166-chodba
B3.1NP.167,167-chodba
B3.1NP.168,168-sklad
B3.1NP.169,169-sklad
B3.1NP.170,170-sklad
B3.1NP.171,171-chodba
B3.1NP.172,172-kancelář
B3.1NP.173,173-kancelář
B3.1NP.174,174-kancelář
B3.1NP.175,175-kancelář
B3.1NP.176,176-kancelář
B3.1NP.177,177-kancelář
B3.1NP.178,178-kancelář
B3.1NP.179,179-kancelář
B3.1NP.180,180-kancelář
B3.1NP.181,181-chodba
B3.1NP.182,182-chodba
B3.1NP.183,183-kancelář
B3.1PP.001A,001A-schody
B3.1PP.001B,001B-schody
B3.1PP.001C,001C-schody
B3.1PP.001E,001E-výrobní prostory
B3.1PP.002,002-WC
B3.1PP.003,003-WC
B3.1PP.004,004-chodba
B3.1PP.005,005-kancelář
B3.1PP.006,006-kancelář
